lat,lng,temperature
5.25,27.25,26.87
5.25,27.75,27.41
5.25,28.25,27.71
5.25,28.75,26.74
5.25,29.25,26.8
5.25,29.75,26.98
5.75,20.25,26.07
5.75,20.75,25.8
5.75,21.25,25.51
5.75,21.75,25.48
5.75,22.25,25.56
5.75,22.75,25.61
5.75,23.25,25.57
5.75,23.75,25.47
5.75,24.25,25.99
5.75,24.75,26.01
5.75,25.25,25.65
5.75,25.75,25.25
5.75,26.25,25.36
5.75,26.75,26.12
5.75,27.25,26.95
5.75,27.75,27.92
5.75,28.25,28.66
5.75,28.75,28.28
5.75,29.25,28.33
5.75,29.75,28.8
6.25,20.25,26.18
6.25,20.75,25.82
6.25,21.25,25.26
6.25,21.75,25.6
6.25,22.25,26.24
6.25,22.75,26.44
6.25,23.25,26.08
6.25,23.75,25.69
6.25,24.25,26.04
6.25,24.75,26.1
6.25,25.25,25.91
6.25,25.75,25.55
6.25,26.25,25.17
6.25,26.75,26.42
6.25,27.25,27.3
6.25,27.75,28.5
6.25,28.25,29.81
6.25,28.75,30.06
6.25,29.25,30.13
6.25,29.75,30.53
6.75,20.25,26.55
6.75,20.75,26.04
6.75,21.25,25.46
6.75,21.75,26.04
6.75,22.25,26.99
6.75,22.75,27.22
6.75,23.25,26.61
6.75,23.75,26.04
6.75,24.25,26.23
6.75,24.75,26.33
6.75,25.25,26.22
6.75,25.75,25.95
6.75,26.25,25.76
6.75,26.75,26.98
6.75,27.25,27.72
6.75,27.75,29.09
6.75,28.25,30.92
6.75,28.75,31.74
6.75,29.25,31.74
6.75,29.75,31.72
7.25,20.25,27.02
7.25,20.75,26.61
7.25,21.25,26.23
7.25,21.75,26.74
7.25,22.25,27.49
7.25,22.75,27.72
7.25,23.25,27.36
7.25,23.75,27.01
7.25,24.25,27.16
7.25,24.75,27.08
7.25,25.25,26.86
7.25,25.75,26.7
7.25,26.25,26.89
7.25,26.75,27.64
7.25,27.25,28.29
7.25,27.75,29.75
7.25,28.25,31.81
7.25,28.75,33.12
7.25,29.25,33.12
7.25,29.75,32.78
7.75,20.25,27.63
7.75,20.75,27.21
7.75,21.25,26.96
7.75,21.75,27.35
7.75,22.25,27.75
7.75,22.75,27.95
7.75,23.25,27.99
7.75,23.75,28.08
7.75,24.25,28.25
7.75,24.75,28.12
7.75,25.25,27.99
7.75,25.75,28.03
7.75,26.25,28.31
7.75,26.75,28.58
7.75,27.25,29.07
7.75,27.75,30.25
7.75,28.25,31.98
7.75,28.75,33.51
7.75,29.25,33.77
7.75,29.75,33.58
8.25,20.25,28.52
8.25,20.75,27.94
8.25,21.25,27.89
8.25,21.75,28.26
8.25,22.25,28.11
8.25,22.75,27.76
8.25,23.25,27.54
8.25,23.75,27.81
8.25,24.25,28.07
8.25,24.75,28.47
8.25,25.25,28.89
8.25,25.75,29.27
8.25,26.25,29.56
8.25,26.75,29.69
8.25,27.25,30.09
8.25,27.75,30.76
8.25,28.25,31.74
8.25,28.75,33.08
8.25,29.25,33.49
8.25,29.75,33.55
8.75,20.25,29.82
8.75,20.75,29.29
8.75,21.25,29.22
8.75,21.75,29.5
8.75,22.25,28.95
8.75,22.75,28.07
8.75,23.25,27.38
8.75,23.75,27.45
8.75,24.25,27.93
8.75,24.75,28.7
8.75,25.25,29.47
8.75,25.75,30.08
8.75,26.25,30.4
8.75,26.75,30.61
8.75,27.25,30.9
8.75,27.75,31.2
8.75,28.25,31.62
8.75,28.75,32.51
8.75,29.25,33.0
8.75,29.75,33.13
9.25,20.25,31.0
9.25,20.75,30.65
